Domain,Classification,Workspace(s),Total Accounts,Burnt Accounts,Healthy Accounts,Low Volume Accounts,Total Sent,Total Replied,Avg Reply Rate %
binyonagencyltd.com,ALL_BURNT,"Jason Binyon",3,3,0,0,4418,12,0.27
brilliantinsuranceco.com,ALL_BURNT,"Jason Binyon",3,3,0,0,3825,13,0.34
comprehensivepolicyhub.com,ALL_BURNT,"Jason Binyon",2,2,0,0,3555,18,0.51
agentfarmersnetwork.com,ALL_BURNT,"Danny Schwartz",3,3,0,0,3341,10,0.30
agentfarmersusa.com,ALL_BURNT,"Danny Schwartz",3,3,0,0,3339,15,0.45
agentfarmersservices.com,ALL_BURNT,"Danny Schwartz",3,3,0,0,3334,17,0.51
agentsfarmerspro.com,ALL_BURNT,"Danny Schwartz",3,3,0,0,3269,18,0.55
awpremierinsurance.com,ALL_BURNT,"Jason Binyon",3,3,0,0,3087,8,0.26
alexwilliamspro.com,ALL_BURNT,"Jason Binyon",2,2,0,0,3072,13,0.42
binyonagencyincs.com,ALL_BURNT,"Jason Binyon",2,2,0,0,2885,5,0.17
brilliantinsuranceltds.com,ALL_BURNT,"Jason Binyon",2,2,0,0,2851,7,0.25
awinsurancefirm.com,ALL_BURNT,"Jason Binyon",2,2,0,0,2482,9,0.36
thedevinagencyusa.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2448,15,0.61
thedevinagencyinsurance.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2415,15,0.62
devinagencywork.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2411,2,0.08
thedevinagencyservices.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2392,9,0.38
devinagencyinfo.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2369,6,0.25
devinagencyservice.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2354,4,0.17
devinagencyllc.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2335,11,0.47
homepolicyusa.info,ALL_BURNT,"Jason Binyon",2,2,0,0,2094,4,0.19
homepolicytx.info,ALL_BURNT,"Jason Binyon",2,2,0,0,2074,5,0.24
binyonagencyinsurance.com,ALL_BURNT,"Jason Binyon",3,3,0,0,2039,6,0.29
binyonagencyoffice.com,ALL_BURNT,"Jason Binyon",3,3,0,0,2014,5,0.25
robrussellbiz.com,ALL_BURNT,"Rob Russell",1,1,0,0,1703,5,0.29
alexwilliamsconnect.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1532,4,0.26
alexwilliamsbiz.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1531,5,0.33
topalexwilliams.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1524,5,0.33
maxalexwilliams.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1521,6,0.39
alexwilliamsproperty.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1515,3,0.20
americancoveragenetwork.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1500,4,0.27
thebinyonagencyllcs.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1323,1,0.08
nicksakhariskcorp.com,ALL_BURNT,"Nick Sakha",3,3,0,0,1249,3,0.24
nicksakhainsurancepros.com,ALL_BURNT,"Nick Sakha",3,3,0,0,1202,3,0.25
homepolicyadvisors.info,ALL_BURNT,"Jason Binyon",1,1,0,0,1048,3,0.29
homepolicyagency.info,ALL_BURNT,"Jason Binyon",1,1,0,0,1043,3,0.29
kimwallace-covered.com,ALL_BURNT,"Kim Wallace",1,1,0,0,843,0,0.00
assuredpartnersglobal.com,ALL_BURNT,"Kirk Hodgson",3,3,0,0,807,1,0.12
assuredpartnersltd.com,ALL_BURNT,"Kirk Hodgson",3,3,0,0,767,1,0.13
