Domain,Total Mailboxes,Burnt Mailboxes,Total Sent,Total Replied,Avg Reply Rate %
schmitzagencypolicy.com,3,3,566,3,0.53
kimwallace-covered.com,1,1,843,0,0.00
agentfarmersusa.com,3,3,3339,15,0.45
agentfarmersservices.com,3,3,3334,17,0.51
awpremierinsurance.com,3,3,3087,8,0.26
homepolicyusa.info,2,2,2094,4,0.19
schmitzagencyportal.com,3,3,567,0,0.00
thedevinagencyusa.com,3,3,2448,15,0.61
thedevinagencyinsurance.com,3,3,2415,15,0.62
agentfarmersnetwork.com,3,3,3341,10,0.30
devinagencywork.com,3,3,2411,2,0.08
nicksakhariskcorp.com,3,3,1249,3,0.24
nicksakhainsurancepros.com,3,3,1202,3,0.25
homepolicyadvisors.info,1,1,1048,3,0.29
thedevinagencyservices.com,3,3,2392,9,0.38
schmitzagencypro.com,3,3,580,0,0.00
homepolicytx.info,2,2,2074,5,0.24
homepolicyagency.info,1,1,1043,3,0.29
