Domain,Total Mailboxes,Healthy Mailboxes,Total Sent,Total Replied,Avg Reply Rate %
streetsmartinsured.com,2,2,2994,88,2.94
streetsmartassurance.com,2,2,3008,111,3.69
streetsmartinsurancepro.com,2,2,2991,104,3.48
streetsmartcoverage.com,2,2,2984,93,3.12
streetsmartcoveragepro.com,2,2,2987,97,3.25
streetsmartquote.com,2,2,2987,85,2.85
thestreetsmartinsurance.com,2,2,2978,94,3.16
streetsmartpolicy.com,2,2,2947,53,1.80
streetsmartriskpro.com,2,2,2956,65,2.20
schmitzagencyplanpro.com,3,3,572,7,1.22
schmitzagencyinsurancellc.com,3,3,569,4,0.70
schmitzagencyservices.com,3,3,575,13,2.26
kimwallacesafety.com,2,2,3713,26,0.70
devinagencysocial.com,3,3,2451,17,0.69
kimwallaceshield.com,2,2,3691,24,0.65
schmitzagencyinsuranceinc.com,3,3,581,6,1.03
streetsmartinsure.com,2,2,3028,67,2.21
schmitzagencyquotes.com,3,3,565,7,1.24
schmitzagencynow.com,3,3,565,3,0.53
schmitzagencyinsurancerisk.com,3,3,570,7,1.23
schmitzagencyplus.com,3,3,553,10,1.81
schmitzagencyinsuranceltd.com,3,3,557,14,2.51
greggblanchardagencyinsured.com,3,3,671,5,0.75
kimwallacecoverageplans.com,2,2,3705,29,0.78
kimwallacecoveragegroup.com,2,2,3708,26,0.70
agentfarmerspros.com,3,3,3365,49,1.46
greggblanchardagencydeals.com,3,3,685,9,1.31
kimwallace-policyplans.com,2,2,3260,30,0.92
agentfarmersincs.com,3,3,3196,49,1.53
greggblanchardagencyfusion.com,3,3,684,7,1.02
kimwallaceinc.com,2,2,3683,28,0.76
thedevinagencyco.com,3,3,2435,26,1.07
greggblanchardagencyfast.com,3,3,686,4,0.58
greggblanchardagencyfirst.com,3,3,695,9,1.29
agentfarmersexpert.com,3,3,3232,40,1.24
greggblanchardagencyinc.com,3,3,683,4,0.59
streetsmartprotect.com,2,2,3022,161,5.33
greggblanchardagencyclientportal.com,3,3,692,3,0.43
greggblanchardagencyinsurancedeals.com,3,3,704,11,1.56
thedevinagencypros.com,3,3,2357,22,0.93
greggblanchardagencyguide.com,3,3,662,11,1.66
streetsmartinssolutions.com,2,2,3029,83,2.74
greggblanchardagencyriskmanagement.com,3,3,675,7,1.04
agentfarmershub.com,3,3,3384,30,0.89
agentfarmers.com,3,3,3320,24,0.72
agentfarmersinfo.com,3,3,3325,33,0.99
schmitzagencyshop.com,3,3,573,8,1.40
schmitzagencypartners.com,3,3,562,5,0.89
schmitzagencyltds.com,3,3,619,6,0.97
schmitzagencyshield.com,3,3,555,10,1.80
streetsmartguard.com,2,2,3032,113,3.73
streetsmartagency.com,2,2,3005,106,3.53
schmitzagencyquotesfast.com,3,3,563,8,1.42
kimwallacehome.com,2,2,3724,43,1.15
nicksakhariskservices.com,3,3,1289,9,0.70
nicksakhainsuranceworks.com,3,3,1406,9,0.64
schmitzagencytoday.com,3,3,578,10,1.73
nicksakhainsurepros.com,3,3,1399,10,0.71
streetsmartsecure.com,2,2,3099,117,3.78
schmitzagencyinsurancepros.com,3,3,583,7,1.20
nicksakhapartnerscorp.com,3,3,1377,12,0.87
nicksakhasolutionsamerica.com,3,3,1265,12,0.95
streetsmartshield.com,2,2,3118,114,3.66
schmitzagencyplanstore.com,3,3,571,12,2.10
nicksakhaprotectionltd.com,3,3,1373,9,0.66
streetsmartplans.com,2,2,2971,120,4.04
schmitzagencyprosusa.com,3,3,569,3,0.53
nicksakhaprotectionusa.com,3,3,1350,13,0.96
kimwallaceinsured.com,2,2,3361,24,0.71
nicksakhallc.com,3,3,1382,17,1.23
greggblanchardagencygroupinc.com,3,3,610,4,0.66
schmitzagencyprime.com,3,3,572,7,1.22
nicksakhagroupllc.com,3,3,1329,7,0.53
nicksakhafinancialpros.com,3,3,1327,14,1.06
kimwallace-policy.com,2,2,3267,19,0.58
nicksakhainsurancepartners.com,3,3,1232,9,0.73
nicksakhafinancialglobal.com,3,3,1340,14,1.04
kimwallaceagency.com,2,2,3692,30,0.81
schmitzagencyinsuranceservices.com,3,3,559,7,1.25
nicksakhainsuranceinfo.com,3,3,1226,11,0.90
agentfarmersco.com,3,3,3337,38,1.14
schmitzagencyinsurancehub.com,3,3,595,4,0.67
nicksakhaagencyltd.com,3,3,1334,13,0.97
nicksakhainsurancenationwide.com,3,3,1227,10,0.81
greggblanchardagencyins.com,3,3,695,7,1.01
nicksakhaservicesglobal.com,3,3,1232,9,0.73
nicksakhaservicesllc.com,3,3,1263,14,1.11
agentfarmerssupport.com,3,3,3298,29,0.88
nicksakhasolutions.com,3,3,1276,12,0.94
nicksakhapartnersglobal.com,3,3,1394,10,0.72
nicksakhaprotectionco.com,3,3,1374,15,1.09
nicksakharisk.com,3,3,1275,9,0.71
kimwallaceintexas.com,2,2,3271,31,0.95
nicksakhaprotectionpartners.com,3,3,1391,15,1.08
nicksakhaprotectionamerica.com,3,3,1381,7,0.51
nicksakhafinancialcorp.com,3,3,1307,13,0.99
schmitzagencyinsuranceplus.com,3,3,567,4,0.71
nicksakhaagencypros.com,3,3,1311,8,0.61
nicksakhaamerica.com,3,3,1305,7,0.54
nicksakhapartnersllc.com,3,3,1369,19,1.39
nicksakhafinancialsolutions.com,3,3,1331,16,1.20
kimwallaceadvisors.com,2,2,3627,28,0.77
nicksakhaprotectiongroup.com,3,3,1394,13,0.93
nicksakhasolutionsco.com,3,3,1277,10,0.78
nicksakhagroup.com,3,3,1313,9,0.69
nicksakhaprotectioncorp.com,3,3,1390,13,0.94
nicksakhafinancialinc.com,3,3,1327,11,0.83
nicksakhafinancialgroup.com,3,3,1299,12,0.92
nicksakhasolutionsinc.com,3,3,1263,12,0.95
nicksakhaagencyservices.com,3,3,1294,11,0.85
nicksakhallcs.com,3,3,1397,11,0.79
nicksakharisksolutions.com,3,3,1274,13,1.02
nicksakhainsurancecare.com,3,3,1233,12,0.97
nicksakhapartnersinc.com,3,3,1336,6,0.45
nicksakhanationwide.com,3,3,1375,13,0.95
nicksakhaprotectionservices.com,3,3,1366,10,0.73
greggblanchardagencyinsurancecenter.com,3,3,710,12,1.69
nicksakhafinancialpartners.com,3,3,1229,11,0.90
nicksakhainsuranceonline.com,3,3,1210,12,0.99
getstreetsmartinsurance.com,2,2,2980,96,3.22
streetsmartpolicypro.com,2,2,3105,87,2.80
schmitzagencyquotenow.com,3,3,565,8,1.42
thedevinagencyteam.com,3,3,2444,20,0.82
nicksakhaplan.com,3,3,1416,18,1.27
agentfarmersllcs.com,3,3,3265,46,1.41
greggblanchardagencyriskadvisor.com,3,3,703,7,1.00
kimwallaceinsurancesolutions.com,2,2,3291,18,0.55
schmitzagencypros.com,3,3,569,4,0.70
kimwallacepersonalquote.com,2,2,3270,27,0.83
kimwallaceplan.com,2,2,3281,21,0.64
kimwallaceprotection.com,2,2,3276,30,0.92
kimwallaceinsurance.com,2,2,3371,24,0.71
thekimwallace.com,2,2,3671,29,0.79
nicksakhagroupco.com,3,3,1215,16,1.32
streetsmartcoverageplus.com,2,2,2985,74,2.48
schmitzagencyplanonline.com,3,3,584,4,0.68
schmitzagencyinsuranceworks.com,3,3,559,7,1.25
greggblanchardagencyelitepro.com,3,3,695,8,1.15
thedevinagencyworks.com,3,3,2453,26,1.06
devinagencyconnect.com,3,3,2343,18,0.77
greggblanchardagencydiscount.com,3,3,705,6,0.85
devinagencyinsure.com,3,3,2448,27,1.10
greggblanchardagencyfocus.com,3,3,713,8,1.12
streetsmartinsservices.com,2,2,3017,96,3.18
schmitzagencytotal.com,3,3,559,6,1.07
schmitzagencyllc.com,3,3,578,9,1.56
streetsmartpremium.com,2,2,3075,87,2.83
schmitzagencyriskmgmt.com,3,3,571,7,1.23
streetsmartclaims.com,2,2,3023,71,2.35
schmitzagencyonline.com,3,3,573,8,1.40
greggblanchardagencyriskadvisors.com,3,3,698,5,0.72
schmitzagencyone.com,3,3,543,4,0.74
nicksakhafinancialllc.com,3,3,1290,15,1.16
greggblanchardagencyenterprises.com,3,3,695,8,1.15
greggblanchardagencycoveragehub.com,3,3,689,7,1.02
greggblanchardagencycoveragemax.com,3,3,682,6,0.88
nicksakhainsurancebenefits.com,3,3,1210,8,0.66
greggblanchardagencycommunity.com,3,3,715,6,0.84
nicksakhainc.com,3,3,1179,9,0.76
kimwallacecoveragesolutions.com,2,2,3725,30,0.81
kimwallacehomesecure.com,2,2,3713,27,0.73
schmitzagencytrust.com,3,3,584,5,0.86
greggblanchardagencycoverageusa.com,3,3,649,14,2.16
greggblanchardagencyinsuranceco.com,3,3,676,8,1.18
mystreetsmartinsurance.com,1,1,1511,56,3.71
greggblanchardagencyinsuranceglobal.com,3,3,677,10,1.48
streetsmartchoice.com,2,2,3032,92,3.03
nicksakhapros.com,3,3,1379,8,0.58
nicksakhariskgroup.com,3,3,1294,13,1.00
nicksakhaservicesinc.com,3,3,1230,11,0.89
schmitzagencyquotesonline.com,3,3,569,5,0.88
kimwallaceinsurancetexas.com,2,2,3261,29,0.89
greggblanchardagencyinsurancegroup.com,3,3,673,9,1.34
greggblanchardagencyexpertsglobal.com,3,3,691,9,1.30
nicksakhainsuranceexperts.com,3,3,1241,11,0.89
nicksakhainsurancellc.com,3,3,1230,16,1.30
