Domain,Classification,Total Mailboxes,Burnt Mailboxes,Healthy Mailboxes,Low Volume Mailboxes,Total Sent,Total Replied,Avg Reply Rate %
schmitzagencypolicy.com,ALL_BURNT,3,3,0,0,566,3,0.53
kimwallace-covered.com,ALL_BURNT,1,1,0,0,843,0,0.00
agentfarmersusa.com,ALL_BURNT,3,3,0,0,3339,15,0.45
agentfarmersservices.com,ALL_BURNT,3,3,0,0,3334,17,0.51
awpremierinsurance.com,ALL_BURNT,3,3,0,0,3087,8,0.26
homepolicyusa.info,ALL_BURNT,2,2,0,0,2094,4,0.19
schmitzagencyportal.com,ALL_BURNT,3,3,0,0,567,0,0.00
thedevinagencyusa.com,ALL_BURNT,3,3,0,0,2448,15,0.61
thedevinagencyinsurance.com,ALL_BURNT,3,3,0,0,2415,15,0.62
agentfarmersnetwork.com,ALL_BURNT,3,3,0,0,3341,10,0.30
devinagencywork.com,ALL_BURNT,3,3,0,0,2411,2,0.08
nicksakhariskcorp.com,ALL_BURNT,3,3,0,0,1249,3,0.24
nicksakhainsurancepros.com,ALL_BURNT,3,3,0,0,1202,3,0.25
homepolicyadvisors.info,ALL_BURNT,1,1,0,0,1048,3,0.29
thedevinagencyservices.com,ALL_BURNT,3,3,0,0,2392,9,0.38
schmitzagencypro.com,ALL_BURNT,3,3,0,0,580,0,0.00
homepolicytx.info,ALL_BURNT,2,2,0,0,2074,5,0.24
homepolicyagency.info,ALL_BURNT,1,1,0,0,1043,3,0.29
schmitzagencyinsuranceonline.com,MIXED,3,1,2,0,549,9,1.64
schmitzagencyinsurancesolutions.com,MIXED,3,1,2,0,577,5,0.87
schmitzagencytruck.com,MIXED,3,1,2,0,568,10,1.76
kimwallacepolicyreview.com,MIXED,2,1,1,0,2516,19,0.76
schmitzagencylife.com,MIXED,3,1,2,0,568,3,0.53
greggblanchardagencycomplete.com,MIXED,3,2,1,0,652,5,0.77
schmitzagencyworks.com,MIXED,3,1,2,0,564,4,0.71
schmitzagencyprotection.com,MIXED,3,1,2,0,541,7,1.29
schmitzagencyinsurancestore.com,MIXED,3,1,2,0,557,4,0.72
schmitzagencymax.com,MIXED,3,1,2,0,570,3,0.53
thedevinagencysupport.com,MIXED,3,1,2,0,2448,22,0.90
kimwallacetexasplans.com,MIXED,2,1,1,0,2831,23,0.81
kimwallaceservestexas.com,MIXED,2,1,1,0,3642,18,0.49
kimwallaceinsuranceplans.com,MIXED,2,1,1,0,3591,21,0.58
thedevinagencycorp.com,MIXED,3,2,1,0,2418,15,0.62
greggblanchardagencyinsurancecorp.com,MIXED,3,1,2,0,680,5,0.74
greggblanchardagencyexpress.com,MIXED,3,1,2,0,660,4,0.61
thedevinagencyinfo.com,MIXED,3,2,1,0,2373,11,0.46
devinagencyteam.com,MIXED,3,1,2,0,2375,18,0.76
greggblanchardagencyassurance.com,MIXED,3,1,2,0,663,9,1.36
homepolicyinsurance.info,MIXED,2,1,1,0,2090,6,0.29
greggblanchardagencyhome.com,MIXED,3,1,2,0,707,6,0.85
greggblanchardagencyrisk.com,MIXED,3,1,2,0,696,5,0.72
agentfarmerscorp.com,MIXED,3,1,2,0,3368,24,0.71
greggblanchardagencyinsure.com,MIXED,3,1,2,0,666,5,0.75
greggblanchardagencyhealth.com,MIXED,3,1,2,0,698,8,1.15
greggblanchardagencyclientcare.com,MIXED,3,1,2,0,692,6,0.87
agentfarmersnetworks.com,MIXED,3,1,2,0,3361,34,1.01
greggblanchardagencyeasy.com,MIXED,3,1,2,0,691,5,0.72
awassure.com,MIXED,3,2,1,0,3092,18,0.58
schmitzagencyltd.com,MIXED,3,2,1,0,573,2,0.35
schmitzagencyplans.com,MIXED,3,2,1,0,573,1,0.17
schmitzagencywealth.com,MIXED,3,1,2,0,575,3,0.52
schmitzagencyinsuranceportal.com,MIXED,3,2,1,0,566,6,1.06
greggblanchardagencyenterprise.com,MIXED,3,2,1,0,684,2,0.29
schmitzagencyrisk.com,MIXED,3,1,2,0,582,3,0.52
nicksakhariskltd.com,MIXED,3,1,2,0,1286,8,0.62
greggblanchardagencyclientcenter.com,MIXED,3,1,2,0,672,6,0.89
nicksakhaus.com,MIXED,3,1,2,0,1274,6,0.47
schmitzagencyteampro.com,MIXED,3,1,2,0,591,2,0.34
greggblanchardagencyfastquote.com,MIXED,3,1,2,0,692,7,1.01
nicksakhaservicesusa.com,MIXED,3,1,2,0,1253,9,0.72
schmitzagencyselect.com,MIXED,3,1,2,0,594,3,0.51
nicksakhariskglobal.com,MIXED,3,1,2,0,1250,9,0.72
nicksakhariskllc.com,MIXED,3,1,2,0,1279,7,0.55
schmitzagencyteamusa.com,MIXED,3,1,2,0,577,2,0.35
nicksakhaservicesamerica.com,MIXED,3,1,2,0,1283,10,0.78
schmitzagencyllcs.com,MIXED,3,2,1,0,588,4,0.68
nicksakhapartnersusa.com,MIXED,3,1,2,0,1349,6,0.44
schmitzagencysolutions.com,MIXED,3,1,2,0,600,4,0.67
schmitzagencyplansusa.com,MIXED,3,1,2,0,591,5,0.85
agentfarmerspro.com,MIXED,3,1,2,0,3255,32,0.98
nicksakhasolutionsglobal.com,MIXED,3,2,1,0,1233,4,0.32
nicksakhasupport.com,MIXED,3,2,1,0,1223,4,0.33
nicksakhaltd.com,MIXED,3,1,2,0,1409,11,0.78
awcoverage.com,MIXED,3,2,1,0,3054,11,0.36
nicksakhapartnersco.com,MIXED,3,1,2,0,1402,8,0.57
nicksakhaprotection.com,MIXED,3,1,2,0,1386,6,0.43
nicksakhapartnersltd.com,MIXED,3,1,2,0,1324,4,0.30
nicksakhariskco.com,MIXED,3,2,1,0,1221,6,0.49
agentfarmersllc.com,MIXED,3,1,2,0,3353,18,0.54
schmitzagencyplanhub.com,MIXED,3,1,2,0,550,5,0.91
greggblanchardagencyhelp.com,MIXED,3,1,2,0,668,5,0.75
schmitzagencysolutionsusa.com,MIXED,3,1,2,0,589,10,1.70
nicksakhafinancialltd.com,MIXED,3,1,2,0,1291,8,0.62
schmitzagencyinsuranceplans.com,MIXED,3,1,2,0,597,5,0.84
agentfarmersteams.com,MIXED,3,1,2,0,3334,25,0.75
nicksakhainsuranceco.com,MIXED,3,1,2,0,1231,6,0.49
schmitzagencyquotehub.com,MIXED,3,1,2,0,559,6,1.07
nicksakhainsuranceservices.com,MIXED,3,1,2,0,1219,12,0.98
