Domain,Classification,Expected Mailboxes,Actual Mailboxes,Burnt Mailboxes,Healthy Mailboxes,Low Volume Mailboxes,Total Sent,Total Replied,Avg Reply Rate %,Purchase Type
agentfarmersservices.com,ALL_BURNT,0,3,3,0,0,3334,17,0.51,TRANSFER
schmitzagencypolicy.com,ALL_BURNT,3,3,3,0,0,566,3,0.53,TRANSFER
thedevinagencyinsurance.com,ALL_BURNT,3,3,3,0,0,2415,15,0.62,TRANSFER
agentfarmersusa.com,ALL_BURNT,3,3,3,0,0,3339,15,0.45,TRANSFER
thedevinagencyusa.com,ALL_BURNT,3,3,3,0,0,2448,15,0.61,TRANSFER
kimwallacepolicyhelp.com,MIXED,2,2,1,1,0,3290,15,0.46,TRANSFER
kimwallacellc.com,MIXED,2,2,1,1,0,3278,28,0.85,TRANSFER
agentfarmersltd.com,MIXED,3,3,1,2,0,3265,41,1.26,TRANSFER
agentfarmershelp.com,MIXED,3,3,1,2,0,3242,19,0.59,TRANSFER
agentfarmersinc.com,MIXED,0,3,1,2,0,3336,18,0.54,TRANSFER
devinagencysupport.com,MIXED,3,3,2,1,0,2461,14,0.57,TRANSFER
nicksakhainsure.com,MIXED,3,3,1,2,0,1373,13,0.95,TRANSFER
nicksakhaus.com,MIXED,3,3,1,2,0,1274,6,0.47,TRANSFER
nicksakhariskpartners.com,MIXED,3,3,1,2,0,1281,11,0.86,TRANSFER
nicksakhaservicesco.com,MIXED,0,3,1,2,0,1216,12,0.99,TRANSFER
nicksakhaprotectionsolutions.com,MIXED,3,3,1,2,0,1271,9,0.71,TRANSFER
nicksakhariskinc.com,MIXED,3,3,1,2,0,1276,10,0.78,TRANSFER
kimwallacelocal.com,MIXED,2,2,1,1,0,3262,18,0.55,TRANSFER
thedevinagencyinfo.com,MIXED,3,3,2,1,0,2373,11,0.46,TRANSFER
agentfarmersnetworks.com,MIXED,3,3,1,2,0,3361,34,1.01,TRANSFER
nicksakhaprotectioninc.com,MIXED,3,3,1,2,0,1389,13,0.94,TRANSFER
nicksakhainsuranceusa.com,MIXED,3,3,1,2,0,1397,10,0.72,TRANSFER
thedevinagencysupport.com,MIXED,3,3,1,2,0,2448,22,0.90,TRANSFER
nicksakhaltds.com,MIXED,3,3,1,2,0,1388,9,0.65,TRANSFER
agentfarmersteams.com,MIXED,3,3,1,2,0,3334,25,0.75,TRANSFER
schmitzagencyrisk.com,MIXED,3,3,1,2,0,582,3,0.52,TRANSFER
nicksakhaprotection.com,MIXED,3,3,1,2,0,1386,6,0.43,TRANSFER
nicksakhaservicesamerica.com,MIXED,3,3,1,2,0,1283,10,0.78,TRANSFER
nicksakhariskco.com,MIXED,0,3,2,1,0,1221,6,0.49,TRANSFER
nicksakhapartnersamerica.com,MIXED,3,3,1,2,0,1366,14,1.02,TRANSFER
thedevinagencyinsure.com,MIXED,3,3,2,1,0,2406,15,0.62,TRANSFER
nicksakhaltd.com,MIXED,3,3,1,2,0,1409,11,0.78,TRANSFER
nicksakhaprotectionpros.com,MIXED,3,3,2,1,0,1387,6,0.43,TRANSFER
devinagencyteams.com,MIXED,0,3,1,2,0,2425,16,0.66,TRANSFER
nicksakhaservicesusa.com,MIXED,0,3,1,2,0,1253,9,0.72,TRANSFER
agentfarmerscorp.com,MIXED,3,3,1,2,0,3368,24,0.71,TRANSFER
agentfarmersteam.com,MIXED,3,3,1,2,0,3336,32,0.96,TRANSFER
greggblanchardagencyclientservices.com,MIXED,3,3,1,2,0,696,4,0.57,TRANSFER
nicksakhasolutionsusa.com,MIXED,3,3,1,2,0,1282,7,0.55,TRANSFER
greggblanchardagencyhelp.com,MIXED,3,3,1,2,0,668,5,0.75,TRANSFER
nicksakhasolutionsltd.com,MIXED,3,3,1,2,0,1261,9,0.71,TRANSFER
agentfarmersllc.com,MIXED,3,3,1,2,0,3353,18,0.54,TRANSFER
schmitzagencyquotehub.com,MIXED,3,3,1,2,0,559,6,1.07,TRANSFER
schmitzagencyinsurancesolutions.com,MIXED,3,3,1,2,0,577,5,0.87,TRANSFER
schmitzagencyllcs.com,MIXED,3,3,2,1,0,588,4,0.68,TRANSFER
schmitzagencytruck.com,MIXED,3,3,1,2,0,568,10,1.76,TRANSFER
schmitzagencyplanhub.com,MIXED,3,3,1,2,0,550,5,0.91,TRANSFER
nicksakhariskltd.com,MIXED,3,3,1,2,0,1286,8,0.62,TRANSFER
schmitzagencylife.com,MIXED,3,3,1,2,0,568,3,0.53,TRANSFER
schmitzagencyplansusa.com,MIXED,3,3,1,2,0,591,5,0.85,TRANSFER
schmitzagencyinsuranceusa.com,MIXED,3,3,1,2,0,563,6,1.07,TRANSFER
greggblanchardagencyfastquote.com,MIXED,3,3,1,2,0,692,7,1.01,TRANSFER
greggblanchardagencyinsurance.com,MIXED,3,3,1,2,0,708,5,0.71,TRANSFER
greggblanchardagencyhealth.com,MIXED,3,3,1,2,0,698,8,1.15,TRANSFER
schmitzagencyquotespro.com,MIXED,3,3,1,2,0,599,6,1.00,TRANSFER
schmitzagencymax.com,MIXED,3,3,1,2,0,570,3,0.53,TRANSFER
schmitzagencyinsuranceonline.com,MIXED,3,3,1,2,0,549,9,1.64,TRANSFER
schmitzagencyselect.com,MIXED,3,3,1,2,0,594,3,0.51,TRANSFER
thedevinagencyconnect.com,MIXED,3,3,1,2,0,2400,20,0.83,TRANSFER
greggblanchardagencycomplete.com,MIXED,3,3,2,1,0,652,5,0.77,TRANSFER
schmitzagencyinsuranceonlineusa.com,MIXED,3,3,1,2,0,571,8,1.40,TRANSFER
thedevinagencycorp.com,MIXED,0,3,2,1,0,2418,15,0.62,TRANSFER
schmitzagencyinsurancestore.com,MIXED,3,3,1,2,0,557,4,0.72,TRANSFER
greggblanchardagencyclientcenter.com,MIXED,3,3,1,2,0,672,6,0.89,TRANSFER
greggblanchardagencyclientcare.com,MIXED,3,3,1,2,0,692,6,0.87,TRANSFER
greggblanchardagencyhq.com,MIXED,3,3,1,2,0,662,6,0.91,TRANSFER
nicksakhaservicescorp.com,MIXED,3,3,1,2,0,1232,8,0.65,TRANSFER
nicksakhasolutionscorp.com,MIXED,0,3,2,1,0,1229,11,0.90,TRANSFER
nicksakhasolutionsllc.com,MIXED,3,3,1,2,0,1304,6,0.46,TRANSFER
nicksakhaservicesltd.com,MIXED,3,3,2,1,0,1246,13,1.04,TRANSFER
greggblanchardagencyhome.com,MIXED,3,3,1,2,0,707,6,0.85,TRANSFER
nicksakhainsurancesolutions.com,MIXED,3,3,1,2,0,1389,10,0.72,TRANSFER
schmitzagencyprotection.com,MIXED,3,3,1,2,0,541,7,1.29,TRANSFER
nicksakhariskpros.com,MIXED,3,3,1,2,0,1282,9,0.70,TRANSFER
