Domain,Expected Mailboxes,Actual Mailboxes,All Mailboxes Burnt,Total Sent,Total Replied,Avg Reply Rate %,Purchase Type
agentfarmersservices.com,0,3,3,3334,17,0.51,TRANSFER
schmitzagencypolicy.com,3,3,3,566,3,0.53,TRANSFER
thedevinagencyservices.com,0,3,3,2392,9,0.38,TRANSFER
schmitzagencyportal.com,3,3,3,567,0,0.00,TRANSFER
thedevinagencyinsurance.com,3,3,3,2415,15,0.62,TRANSFER
nicksakhariskcorp.com,0,3,3,1249,3,0.24,TRANSFER
agentfarmersnetwork.com,3,3,3,3341,10,0.30,TRANSFER
schmitzagencypro.com,3,3,3,580,0,0.00,TRANSFER
devinagencywork.com,0,3,3,2411,2,0.08,TRANSFER
agentfarmersusa.com,3,3,3,3339,15,0.45,TRANSFER
thedevinagencyusa.com,3,3,3,2448,15,0.61,TRANSFER
