Domain,Expected Mailboxes,Actual Mailboxes,Healthy Mailboxes,Total Sent,Total Replied,Avg Reply Rate %,Purchase Type
schmitzagencyriskmgmt.com,3,3,3,571,7,1.23,TRANSFER
schmitzagencyinsurancepros.com,3,3,3,583,7,1.20,TRANSFER
streetsmartplans.com,2,2,2,2971,120,4.04,TRANSFER
kimwallaceinsurancesolutions.com,2,2,2,3291,18,0.55,TRANSFER
devinagencyconnect.com,3,3,3,2343,18,0.77,TRANSFER
nicksakhaplan.com,3,3,3,1416,18,1.27,TRANSFER
nicksakhariskservices.com,3,3,3,1289,9,0.70,TRANSFER
nicksakharisk.com,3,3,3,1275,9,0.71,TRANSFER
schmitzagencyshield.com,3,3,3,555,10,1.80,TRANSFER
nicksakhaservicesllc.com,3,3,3,1263,14,1.11,TRANSFER
nicksakhasolutionsamerica.com,3,3,3,1265,12,0.95,TRANSFER
schmitzagencyquotes.com,3,3,3,565,7,1.24,TRANSFER
kimwallaceplan.com,2,2,2,3281,21,0.64,TRANSFER
schmitzagencytrust.com,3,3,3,584,5,0.86,TRANSFER
schmitzagencytoday.com,3,3,3,578,10,1.73,TRANSFER
nicksakhallc.com,3,3,3,1382,17,1.23,TRANSFER
nicksakhaprotectionusa.com,3,3,3,1350,13,0.96,TRANSFER
thedevinagencyworks.com,3,3,3,2453,26,1.06,TRANSFER
nicksakhanationwide.com,3,3,3,1375,13,0.95,TRANSFER
nicksakhasolutionsco.com,3,3,3,1277,10,0.78,TRANSFER
nicksakhapartnerscorp.com,3,3,3,1377,12,0.87,TRANSFER
agentfarmerssupport.com,3,3,3,3298,29,0.88,TRANSFER
kimwallaceintexas.com,2,2,2,3271,31,0.95,TRANSFER
kimwallace-policyplans.com,2,2,2,3260,30,0.92,TRANSFER
greggblanchardagencyfocus.com,3,3,3,713,8,1.12,TRANSFER
thedevinagencypros.com,3,3,3,2357,22,0.93,TRANSFER
nicksakhainsuranceworks.com,3,3,3,1406,9,0.64,TRANSFER
nicksakhaprotectionco.com,3,3,3,1374,15,1.09,TRANSFER
streetsmartprotect.com,2,2,2,3022,161,5.33,TRANSFER
nicksakhaprotectiongroup.com,3,3,3,1394,13,0.93,TRANSFER
nicksakharisksolutions.com,3,3,3,1274,13,1.02,TRANSFER
nicksakhaprotectionamerica.com,3,3,3,1381,7,0.51,TRANSFER
greggblanchardagencygroupinc.com,3,3,3,610,4,0.66,TRANSFER
nicksakhaprotectioncorp.com,3,3,3,1390,13,0.94,TRANSFER
nicksakhaservicesglobal.com,3,3,3,1232,9,0.73,TRANSFER
nicksakhapartnersglobal.com,3,3,3,1394,10,0.72,TRANSFER
nicksakhallcs.com,3,3,3,1397,11,0.79,TRANSFER
devinagencyinsure.com,3,3,3,2448,27,1.10,TRANSFER
nicksakhaprotectionltd.com,3,3,3,1373,9,0.66,TRANSFER
thedevinagencyteam.com,3,3,3,2444,20,0.82,TRANSFER
nicksakhainsurepros.com,3,3,3,1399,10,0.71,TRANSFER
kimwallaceinsurancetexas.com,2,2,2,3261,29,0.89,TRANSFER
devinagencysocial.com,3,3,3,2451,17,0.69,TRANSFER
streetsmartsecure.com,2,2,2,3099,117,3.78,TRANSFER
greggblanchardagencycoveragemax.com,3,3,3,682,6,0.88,TRANSFER
nicksakhasolutions.com,3,3,3,1276,12,0.94,TRANSFER
greggblanchardagencyinsured.com,3,3,3,671,5,0.75,TRANSFER
streetsmartriskpro.com,2,2,2,2956,65,2.20,TRANSFER
kimwallaceinsurance.com,2,2,2,3371,24,0.71,TRANSFER
schmitzagencypros.com,3,3,3,569,4,0.70,TRANSFER
kimwallaceinsured.com,2,2,2,3361,24,0.71,TRANSFER
schmitzagencyllc.com,3,3,3,578,9,1.56,TRANSFER
schmitzagencyonline.com,3,3,3,573,8,1.40,TRANSFER
schmitzagencyplus.com,3,3,3,553,10,1.81,TRANSFER
schmitzagencyservices.com,3,3,3,575,13,2.26,TRANSFER
schmitzagencyltds.com,3,3,3,619,6,0.97,TRANSFER
schmitzagencyprime.com,3,3,3,572,7,1.22,TRANSFER
greggblanchardagencyriskmanagement.com,3,3,3,675,7,1.04,TRANSFER
greggblanchardagencydeals.com,3,3,3,685,9,1.31,TRANSFER
greggblanchardagencycoveragehub.com,3,3,3,689,7,1.02,TRANSFER
