Domain,Expected Mailboxes,Actual Mailboxes,Healthy Mailboxes,Total Sent,Total Replied,Avg Reply Rate %,Purchase Type
nicksakhaamerica.com,3,3,3,1305,7,0.54,TRANSFER
nicksakhainc.com,3,3,3,1179,9,0.76,TRANSFER
nicksakhafinancialpartners.com,3,3,3,1229,11,0.90,TRANSFER
kimwallacecoverageplans.com,2,2,2,3705,29,0.78,TRANSFER
nicksakhafinancialpros.com,3,3,3,1327,14,1.06,TRANSFER
nicksakhainsuranceinfo.com,3,3,3,1226,11,0.90,TRANSFER
nicksakhainsurancecare.com,3,3,3,1233,12,0.97,TRANSFER
nicksakhagroup.com,3,3,3,1313,9,0.69,TRANSFER
nicksakhaagencyltd.com,3,3,3,1334,13,0.97,TRANSFER
nicksakhaagencyservices.com,3,3,3,1294,11,0.85,TRANSFER
nicksakhafinancialinc.com,3,3,3,1327,11,0.83,TRANSFER
streetsmartinsured.com,2,2,2,2994,88,2.94,TRANSFER
kimwallaceinc.com,2,2,2,3683,28,0.76,TRANSFER
streetsmartguard.com,2,2,2,3032,113,3.73,TRANSFER
nicksakhafinancialglobal.com,3,3,3,1340,14,1.04,TRANSFER
nicksakhainsuranceonline.com,3,3,3,1210,12,0.99,TRANSFER
nicksakhainsuranceexperts.com,3,3,3,1241,11,0.89,TRANSFER
streetsmartinsure.com,2,2,2,3028,67,2.21,TRANSFER
nicksakhafinancialgroup.com,3,3,3,1299,12,0.92,TRANSFER
kimwallaceagency.com,2,2,2,3692,30,0.81,TRANSFER
kimwallacehomesecure.com,2,2,2,3713,27,0.73,TRANSFER
streetsmartinssolutions.com,2,2,2,3029,83,2.74,TRANSFER
kimwallacecoveragesolutions.com,2,2,2,3725,30,0.81,TRANSFER
thekimwallace.com,2,2,2,3671,29,0.79,TRANSFER
streetsmartclaims.com,2,2,2,3023,71,2.35,TRANSFER
streetsmartcoveragepro.com,2,2,2,2987,97,3.25,TRANSFER
streetsmartchoice.com,2,2,2,3032,92,3.03,TRANSFER
streetsmartinsservices.com,2,2,2,3017,96,3.18,TRANSFER
mystreetsmartinsurance.com,2,1,1,1511,56,3.71,TRANSFER
getstreetsmartinsurance.com,2,2,2,2980,96,3.22,TRANSFER
kimwallacehome.com,2,2,2,3724,43,1.15,TRANSFER
nicksakhagroupco.com,3,3,3,1215,16,1.32,TRANSFER
nicksakhainsurancebenefits.com,0,3,3,1210,8,0.66,TRANSFER
kimwallaceadvisors.com,2,2,2,3627,28,0.77,TRANSFER
streetsmartagency.com,2,2,2,3005,106,3.53,TRANSFER
nicksakhainsuranceconnect.com,3,3,3,1234,10,0.81,TRANSFER
kimwallacecoveragegroup.com,2,2,2,3708,26,0.70,TRANSFER
kimwallaceshield.com,2,2,2,3691,24,0.65,TRANSFER
kimwallacesafety.com,2,2,2,3713,26,0.70,TRANSFER
streetsmartcoverage.com,2,2,2,2984,93,3.12,TRANSFER
nicksakhafinancialcorp.com,3,3,3,1307,13,0.99,TRANSFER
nicksakhafinancialsolutions.com,3,3,3,1331,16,1.20,TRANSFER
streetsmartassurance.com,2,2,2,3008,111,3.69,TRANSFER
nicksakhaagencypros.com,0,3,3,1311,8,0.61,TRANSFER
streetsmartcoverageplus.com,2,2,2,2985,74,2.48,TRANSFER
streetsmartinsurancepro.com,2,2,2,2991,104,3.48,TRANSFER
nicksakhainsurancepartners.com,3,3,3,1232,9,0.73,TRANSFER
nicksakhafinancialllc.com,3,3,3,1290,15,1.16,TRANSFER
nicksakhainsurancenationwide.com,3,3,3,1227,10,0.81,TRANSFER
nicksakhagroupllc.com,3,3,3,1329,7,0.53,TRANSFER
nicksakhainsurancellc.com,3,3,3,1230,16,1.30,TRANSFER
