Zipcode,Territory,Color
89001,Nick Sakha,#000000
89002,Nick Sakha,#000000
89005,Nick Sakha,#000000
89006,Nick Sakha,#000000
89007,Nick Sakha,#000000
89009,Nick Sakha,#000000
89010,Nick Sakha,#000000
89011,Nick Sakha,#000000
89012,Nick Sakha,#000000
89013,Nick Sakha,#000000
89014,Nick Sakha,#000000
89015,Nick Sakha,#000000
89016,Nick Sakha,#000000
89017,Nick Sakha,#000000
89018,Nick Sakha,#000000
89019,Nick Sakha,#000000
89022,Nick Sakha,#000000
89025,Nick Sakha,#000000
89026,Nick Sakha,#000000
89027,Nick Sakha,#000000
89029,Nick Sakha,#000000
89030,Nick Sakha,#000000
89031,Nick Sakha,#000000
89032,Nick Sakha,#000000
89033,Nick Sakha,#000000
89036,Nick Sakha,#000000
89037,Nick Sakha,#000000
89042,Nick Sakha,#000000
89044,Nick Sakha,#000000
89045,Nick Sakha,#000000
89046,Nick Sakha,#000000
89047,Nick Sakha,#000000
89052,Nick Sakha,#000000
89053,Nick Sakha,#000000
89054,Nick Sakha,#000000
89067,Nick Sakha,#000000
89070,Nick Sakha,#000000
89074,Nick Sakha,#000000
89077,Nick Sakha,#000000
89081,Nick Sakha,#000000
89082,Nick Sakha,#000000
89083,Nick Sakha,#000000
89084,Nick Sakha,#000000
89085,Nick Sakha,#000000
89086,Nick Sakha,#000000
89087,Nick Sakha,#000000
89101,Nick Sakha,#000000
89102,Nick Sakha,#000000
89103,Nick Sakha,#000000
89104,Nick Sakha,#000000
89105,Nick Sakha,#000000
89106,Nick Sakha,#000000
89107,Nick Sakha,#000000
89108,Nick Sakha,#000000
89109,Nick Sakha,#000000
89110,Nick Sakha,#000000
89111,Nick Sakha,#000000
89112,Nick Sakha,#000000
89113,Nick Sakha,#000000
89114,Nick Sakha,#000000
89115,Nick Sakha,#000000
89116,Nick Sakha,#000000
89117,Nick Sakha,#000000
89118,Nick Sakha,#000000
89119,Nick Sakha,#000000
89120,Nick Sakha,#000000
89121,Nick Sakha,#000000
89122,Nick Sakha,#000000
89123,Nick Sakha,#000000
89124,Nick Sakha,#000000
89125,Nick Sakha,#000000
89126,Nick Sakha,#000000
89127,Nick Sakha,#000000
89128,Nick Sakha,#000000
89129,Nick Sakha,#000000
89130,Nick Sakha,#000000
89131,Nick Sakha,#000000
89132,Nick Sakha,#000000
89133,Nick Sakha,#000000
89134,Nick Sakha,#000000
89135,Nick Sakha,#000000
89136,Nick Sakha,#000000
89137,Nick Sakha,#000000
89138,Nick Sakha,#000000
89139,Nick Sakha,#000000
89140,Nick Sakha,#000000
89141,Nick Sakha,#000000
89142,Nick Sakha,#000000
89143,Nick Sakha,#000000
89144,Nick Sakha,#000000
89145,Nick Sakha,#000000
89146,Nick Sakha,#000000
89147,Nick Sakha,#000000
89148,Nick Sakha,#000000
89149,Nick Sakha,#000000
89150,Nick Sakha,#000000
89151,Nick Sakha,#000000
89152,Nick Sakha,#000000
89153,Nick Sakha,#000000
89154,Nick Sakha,#000000
89155,Nick Sakha,#000000
89156,Nick Sakha,#000000
89158,Nick Sakha,#000000
89159,Nick Sakha,#000000
89160,Nick Sakha,#000000
89161,Nick Sakha,#000000
89162,Nick Sakha,#000000
89163,Nick Sakha,#000000
89164,Nick Sakha,#000000
89165,Nick Sakha,#000000
89166,Nick Sakha,#000000
89169,Nick Sakha,#000000
89170,Nick Sakha,#000000
89173,Nick Sakha,#000000
89177,Nick Sakha,#000000
89178,Nick Sakha,#000000
89179,Nick Sakha,#000000
89180,Nick Sakha,#000000
89183,Nick Sakha,#000000
89185,Nick Sakha,#000000
89191,Nick Sakha,#000000
89301,Nick Sakha,#000000
89310,Nick Sakha,#000000
89316,Nick Sakha,#000000
89318,Nick Sakha,#000000
89402,Nick Sakha,#000000
89403,Nick Sakha,#000000
89404,Nick Sakha,#000000
89406,Nick Sakha,#000000
89407,Nick Sakha,#000000
89408,Nick Sakha,#000000
89409,Nick Sakha,#000000
89410,Nick Sakha,#000000
89411,Nick Sakha,#000000
89412,Nick Sakha,#000000
89413,Nick Sakha,#000000
89414,Nick Sakha,#000000
89415,Nick Sakha,#000000
89418,Nick Sakha,#000000
89419,Nick Sakha,#000000
89420,Nick Sakha,#000000
89421,Nick Sakha,#000000
89422,Nick Sakha,#000000
89423,Nick Sakha,#000000
89424,Nick Sakha,#000000
89425,Nick Sakha,#000000
89427,Nick Sakha,#000000
89428,Nick Sakha,#000000
89429,Nick Sakha,#000000
89430,Nick Sakha,#000000
89431,Nick Sakha,#000000
89432,Nick Sakha,#000000
89433,Nick Sakha,#000000
89434,Nick Sakha,#000000
89435,Nick Sakha,#000000
89436,Nick Sakha,#000000
89438,Nick Sakha,#000000
89439,Nick Sakha,#000000
