ZipCode,City,State,Latitude,Longitude,Classification,Population
75017,IRVING,TX,32.8139,-96.9488,P,0
75024,PLANO,TX,33.0838,-96.8128,,45469
75025,PLANO,TX,33.0906,-96.7408,,53161
75027,FLOWER MOUND,TX,33.0364,-97.0715,P,0
75028,FLOWER MOUND,TX,33.0336,-97.0626,,46830
75035,FRISCO,TX,33.1615,-96.7692,,82596
75038,IRVING,TX,32.875,-96.9833,,32928
75039,IRVING,TX,32.8813,-96.9448,,24569
75040,GARLAND,TX,32.9331,-96.6213,,64035
75043,GARLAND,TX,32.8622,-96.5837,,63973
75052,GRAND PRAIRIE,TX,32.6589,-97.0119,,96225
75056,THE COLONY,TX,33.0724,-96.907,,67570
75058,GUNTER,TX,33.4607,-96.7424,,3799
75059,IRVING,TX,32.8284,-97.0197,U,0
75063,IRVING,TX,32.9195,-96.9774,,46598
75070,MCKINNEY,TX,33.1709,-96.6925,,57712
75074,PLANO,TX,33.0388,-96.6709,,53003
75075,PLANO,TX,33.0192,-96.7384,,36600
75093,PLANO,TX,33.0367,-96.8135,,48081
75094,PLANO,TX,33.0122,-96.6189,,23864
75098,WYLIE,TX,33.023,-96.5389,,67212
75101,BARDWELL,TX,32.2731,-96.7022,P,633
75103,CANTON,TX,32.4954,-95.8963,,15162
75104,CEDAR HILL,TX,32.5899,-96.969,,49749
75132,FATE,TX,32.9411,-96.3827,P,135
75164,JOSEPHINE,TX,33.06,-96.3248,P,335
75221,DALLAS,TX,32.7835,-96.8003,P,0
75222,DALLAS,TX,32.7835,-96.8003,P,0
75260,DALLAS,TX,32.768,-96.8277,,0
75262,DALLAS,TX,32.7803,-96.8055,P,0
75263,DALLAS,TX,32.7803,-96.8055,P,0
75264,DALLAS,TX,32.7835,-96.8001,P,0
75265,DALLAS,TX,32.7835,-96.8001,P,0
75266,DALLAS,TX,32.7835,-96.8001,P,0
75267,DALLAS,TX,32.78,-96.8102,P,0
75270,DALLAS,TX,32.7813,-96.802,,0
75275,DALLAS,TX,32.7835,-96.8001,U,0
75277,DALLAS,TX,32.7835,-96.8001,U,0
75283,DALLAS,TX,32.7835,-96.8001,U,0
75284,DALLAS,TX,32.7835,-96.8001,U,0
75285,DALLAS,TX,32.7835,-96.8001,U,0
75301,DALLAS,TX,32.7835,-96.8001,U,0
75303,DALLAS,TX,32.7835,-96.8001,U,0
75312,DALLAS,TX,32.7835,-96.8001,U,0
75313,DALLAS,TX,32.7835,-96.8001,P,0
75315,DALLAS,TX,32.7835,-96.8001,P,0
75320,DALLAS,TX,32.7835,-96.8001,U,0
75326,DALLAS,TX,32.7835,-96.8001,U,0
